source_row_id,state,region,source_section,award_category,recipient_or_awardee,provider_equipment_or_role,county_or_service_area,award_stage,source_document,source_posting_window,official_source_url,refresh_date
IA-001,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Technical Assistance,University of Iowa,Technical assistance for Cancer Health Hubs and Health Hubs,Statewide/Hub support,NOIA / Awardees posted,Notice of Intent to Award RFP #COMPADM26001 Combat Cancer Technical Assistance Provider / RFP #COMPADM26002 Health Hub Technical Assistance Provider,Posted 2-5-2026 to 2-12-2026,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-002,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Technical Assistance,Iowa Primary Care Association,Technical assistance for Communities of Care co-location,Statewide/Provider network,NOIA / Awardees posted,Notice of Intent to Award RFP #COMPADM26003 Communities of Care Technical Assistance Provider,Posted 2-5-2026 to 2-12-2026,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-003,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Cancer Prevention,Marion County Board of Health,Cancer prevention and screening programs,Marion County,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHOCC26755 Combat Cancer Prevention and Screening,Posted 2-5-2026 to 2-12-2026,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-004,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Alegent Health Mercy Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-005,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Avera Holy Family,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-006,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Avera McKennan,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-007,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Boone County Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-008,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Cass County Memorial Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-009,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Cherokee Regional Medical Center,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
IA-010,Iowa,Northeast,Iowa HHS Healthy Hometowns Notice of Intent to Award and Awardees,Provider Workforce,Best and Brightest Provider — Clarke County Hospital,Provider recruitment/retention for rural healthcare workforce priorities,Iowa rural provider sites,NOIA / Awardees posted,Notice of Intent to Award RFP #PHTHORC2601 Best and Brightest - Rural Healthcare Workforce,Posted 1-30-26 to 2-13-26,https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,2026-05-13
