last_checked,state,region,tracker_status,opportunity_types,current_signal,posted_or_open,close_or_next_date,solutionz_fit,primary_official_source,all_sources,change_in_this_refresh
2026-05-15,Alabama,Southeast,forecasted,NOFO; Grant; Application Portal,"Alabama moved from monitor to forecasted/coming soon. ADECA launch timeline shows first NOFOs during the first week of June, application portal live by June 1, applications due June 26, initial award notices July 17, and all NOFOs by end of August.",Program site live; first NOFOs expected week of Jun. 1,Applications due Jun. 26; first awards expected Jul. 17,"Telehealth and health IT infrastructure, care coordination, clinically integrated networks, workforce recruitment/training, delivery redesign, targeted renovations, EMS, cybersecurity, and maternal access.",https://adeca.alabama.gov/alruralhealth/,ADECA ARHTP: https://adeca.alabama.gov/alruralhealth/ | Alabama RHTP site: https://alabamarhtp.com/ | Launch timeline: https://adeca.alabama.gov/wp-content/uploads/ARHTP-Launch-Timeline.pdf,Updated v15: moved to forecasted/coming soon based on official launch timeline.
2026-05-15,Alaska,West,recently closed,LOI; Grant; Webinar,"Alaska remains in post-LOI review. The first LOI period closed Mar. 11 after nearly 1,800 LOIs; DOH states LOI response notifications are expected in early- to mid-May, with full Project Implementation applications expected to open in mid-May for approximately three weeks for organizations that advance. Session 2 of the RHTP Impacts webinar series is open for registration.",LOI review + webinar series,Full application path expected mid-May for advanced LOIs,"Remote care, RPM, telehealth, rural connectivity, regional planning, project implementation readiness, consumer devices, and partner enablement.",https://health.alaska.gov/en/education/rural-health-transformation-program/,Alaska RHTP page: https://health.alaska.gov/en/education/rural-health-transformation-program/ | Alaska RHTP Impacts: https://health.alaska.gov/en/education/rural-health-transformation-program/rhtp-impacts/ | Procurement: https://iris-vss.alaska.gov,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Arizona,West,forecasted,RFA; RFP,"Arizona launch materials still indicate grant opportunities begin posting in spring 2026, but no new verified package was added in this refresh.",Launch page posted,Timing per state page,"Telehealth hubs, mobile crisis, RPM, broadband, and EHR support.",https://app.az.gov/page.aspx/en/usr/login?ReturnUrl=%2fpage.aspx%2fen%2fbuy%2fhomepage,Narrative: https://www.documentcloud.org/documents/26303205-arizona-narrative/ | Procurement: https://app.az.gov/page.aspx/en/usr/login?ReturnUrl=%2fpage.aspx%2fen%2fbuy%2fhomepage | State RHTP: https://www.azahcccs.gov/AHCCCS/Initiatives/RHTP/,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Arkansas,Southeast,active,RFA; Grant,"Applications are now open for Arkansas’ initial Rural Health Transformation funding process, announced May 4 for $209M in rural health transformation funds.",Applications open May 4,Monitor application portal / state notices,"Strong fit for rural hospital, telehealth, workforce, access-point, and technology-enabled care concepts; Sales should identify provider-led projects quickly.",https://governor.arkansas.gov/news_post/sanders-announces-applications-are-open-for-209-million-in-rural-health-transformation-funds/,AR applications open announcement: https://governor.arkansas.gov/news_post/sanders-announces-applications-are-open-for-209-million-in-rural-health-transformation-funds/ | AR RHTP application background: https://governor.arkansas.gov/news_post/sanders-announces-arkansas-application-for-rural-health-funding/,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,California,West,monitor,Event; Webinar,"California remains monitor: HCAI shows CalRHT award materials, the April 21 Spring 2026 webinar recording/presentation, and future dates listed as coming soon, but no public competitive RFA/RFP package was verified in this refresh.",Spring webinar materials posted; no open package found,Upcoming sessions TBD,"Telemedicine nodes, EHR modernization, remote monitoring, workforce mapping, CalRHT partner discovery, and early technical scoping.",https://hcai.ca.gov/workforce/health-workforce/california-state-office-of-rural-health/,Narrative: https://www.documentcloud.org/documents/26490829-california-complete/ | Procurement: https://caleprocure.ca.gov/pages/index.aspx | State RHTP: https://hcai.ca.gov/wp-content/uploads/2025/11/Rural-Health-Transformation-Program-Overview.pdf | HCAI CalRHT page: https://hcai.ca.gov/workforce/health-workforce/california-state-office-of-rural-health/,Updated v15: confirmed no open package found on HCAI CalRHT page.
2026-05-15,Colorado,West,forecasted,RFA,"Colorado remains forecasted but its official materials keep RFA development, advisory structure, and committee buildout as the immediate next steps.",RFA materials in development,Timing TBD by HCPF,"eConsults, RPM, data security, consumer tech, provider workflow, and committee engagement.",https://vss.state.co.us,Narrative: https://www.documentcloud.org/documents/26331565-colorado-narrative-120225/ | Procurement: https://vss.state.co.us | State RHTP: https://hcpf.colorado.gov/rural-health-transformation-program,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Connecticut,Northeast,monitor,RFP,"No new verified public package was posted in this refresh. Baseline plan still emphasizes mobile vans, school-based care, predictive analytics, and shared IT infrastructure.",State page active,TBD by state,"Mobile care, AI-enabled monitoring, psychiatry consults, and shared infrastructure.",https://portal.ct.gov/das/procurement-programs-and-services/ctsource?language=en_US,Narrative: https://www.documentcloud.org/documents/26303198-connecticut-narrative/ | Procurement: https://portal.ct.gov/das/procurement-programs-and-services/ctsource?language=en_US | State RHTP: https://portal.ct.gov/dss/rural-health-transformation-program,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Delaware,Mid-Atlantic,active,RFP; Grant,"Delaware now has a new RHTP Support Services RFP path: solicitation ad date May 4, questions due May 18, responses due June 22, and award notification estimated July 13. This is a support/coordination/monitoring lane across the state’s integrated rural-health initiatives.",RHTP Support Services RFP posts May 4,Questions May 18; proposals Jun. 22,"Program support, PMO, evaluation, data/reporting, implementation support, rural provider engagement, workflow and partner coordination.",https://mmp.delaware.gov/Bids/,Narrative: https://www.documentcloud.org/documents/26303225-delaware-narrative/ | Procurement: https://mmp.delaware.gov/Bids/ | State RHTP: https://dhss.delaware.gov/dph/rural-health-transformation-program/ | RHTP Support Services RFP: https://mmp.delaware.gov/Bids/Details/9140 | RFP PDF: https://bidcondocs.delaware.gov/HSS/HSS26078-RHTPSS_rfp.pdf,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Florida,Southeast,active,RFA; Grant,Florida remains an active RFA market with AHCA guidance confirming Year 1 funding and broad eligibility; prior competitive bundles remain the key sales watch.,Competitive RFA bundle watch,Package specific,"Telehealth, specialty access, diagnostics, workforce, evaluation, cyber, RPM, and value-based workflows.",https://vendor.myfloridamarketplace.com,Narrative: https://www.documentcloud.org/documents/26381185-florida_complete/ | Procurement: https://vendor.myfloridamarketplace.com | State RHTP: https://ahca.myflorida.com/rural-health-transformation-program,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Georgia,Southeast,active,Grant; Application; Telehealth; Telepods; Coming Soon,"Georgia GREAT Health opened the Care to Consumer: Point-of-Care Telepods grant application on May 15, with applications due June 15. The FOA is Initiative 3: Connecting to Care to Improve Healthcare Access / Strategy: Point-of-Care Telepods, Round 3, Tier 2, with $356,465 per award and up to 20 awards available for eligible rural Georgia hospitals.",Care to Consumer: Point-of-Care Telepods application open May 15–June 15; additional Year 1 grants coming in June,"Applications due June 15, 2026; Telehealth Enhancements and Workforce Retention Technology expected June 2026","Immediate fit for telehealth/telepod endpoint design, AV/collaboration, hardwired connectivity, network readiness, cybersecurity, EHR/encounter workflow, implementation, training, and sustainability planning. Watch additional Year 1 grant categories for Telehealth Enhancements and Workforce Retention Technology in June.",https://greathealth.georgia.gov/find-funding-opportunities,Funding opportunities: https://greathealth.georgia.gov/find-funding-opportunities | FOA PDF: https://greathealth.georgia.gov/document/document/poc-telepodsgreat-health-funding-opportunity-announcementfinalpdf/download | Application portal: https://portal.greathealth.georgia.gov/ | DCH GREAT Health: https://dch.georgia.gov/great-health-program-georgias-rural-health-transformation-program,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Hawaii,West,monitor,Event; Procurement,"Planning activity is moving forward: Hawaii posted April steering/EMS materials, and EMS/RICA activity is now referenced publicly; no broad subaward package was verified.",Planning + initiative materials posted,Monitor SHPDA/DOH releases,"Watch RHIN, RICA, EMS, telehealth, and rural infrastructure lanes for partner/vendor openings.",https://health.hawaii.gov/shpda/files/2026/04/2026-04-07-Steering-Committee-Presentation-HGB-and-RHTP.pdf,Hawaii steering committee presentation: https://health.hawaii.gov/shpda/files/2026/04/2026-04-07-Steering-Committee-Presentation-HGB-and-RHTP.pdf | Hawaii EMS/RICA update: https://health.hawaii.gov/news/newsroom/department-of-health-ems-branch-named-national-ems-agency-of-the-year/,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Idaho,West,forecasted,RFP; Grant; Subaward,Idaho remains forecasted/coming soon. The official page was updated May 12 and shows May–June 2026 for posting RFPs and beginning competitive subgrant solicitations; contracts/subgrants are expected July–September.,May–June RFP/subgrant window,RFPs/subgrant solicitations expected May–June; execution July–Sept.,"Facility technology, telehealth, cybersecurity, EHR/digital health tools, emergency communications, rural infrastructure, and implementation support.",https://healthandwelfare.idaho.gov/providers/rural-health-transformation-program-grant/about-rural-health-transformation-program-grant,Idaho RHTP page: https://healthandwelfare.idaho.gov/providers/rural-health-transformation-program-grant/about-rural-health-transformation-program-grant,Updated v15: confirmed official May–June RFP/subgrant milestone.
2026-05-15,Illinois,Northeast,forecasted,Grant; Funding,"Illinois CSFA listings continue to show large RHTP-funded program lines, including rural hospital and community care infrastructure concepts; application mechanics remain state-controlled.",CSFA program listings active,TBD by state listing,"Monitor for hospital infrastructure, community care infrastructure, and state-administered subrecipient opportunities.",https://gata.illinois.gov/grants/csfa.html,Illinois CSFA search: https://gata.illinois.gov/grants/csfa.html,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Indiana,Northeast,active,LOI; Grant; Application,"Grow Rural Indiana Regional Grants remain active. Application package is available, LOIs are due May 22, full applications due July 1, review/scoring July–September, awards expected no later than September 1.",Regional Grant package live,LOI due May 22; applications due Jul. 1; awards by Sept. 1,"Regional coalitions, HIE/data sharing, telehealth, dashboards, workforce tech, innovation support, AV/collaboration, and rural provider implementation planning.",https://www.in.gov/grow-rural-health/regional-grants/,Grow Rural Indiana Regional Grants: https://www.in.gov/grow-rural-health/regional-grants/,"Updated v15: clarified LOI, full application, review, and award dates."
2026-05-15,Iowa,Northeast,active,RFP; RFI; NOIR; Award; NOIA,"Iowa posted a May 15 Healthy Hometowns update for a new Combat Cancer Health Hub Program RFP and Maternal Health Hub and Spoke Networks of Care RFI. The official HHS funding page also lists Notices of Intent to Release for Combat Cancer Health Hubs Round 2, Cardiovascular Health Hub and Spokes, School Based Services, Mobile Integrated Health, Maternal Health Hub and Spoke, High-risk OB and Neonatal Transport, and Communities of Care Co-Location. NOIA/awardee source data remains posted.",May 15 RFP/RFI update + NOIRs posted,RFI/RFP timing package-specific; monitor IowaGrants/Bid Ops,"Cancer health hubs, maternal hub-and-spoke, cardiovascular hubs, school-based services, mobile integrated health, high-risk OB/neonatal transport, telehealth, equipment, HIE, and co-location workflows.",https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan,Iowa Healthy Hometowns: https://hhs.iowa.gov/initiatives/healthy-hometowns-iowas-rural-health-transformation-plan | Iowa Funding Opportunities: https://hhs.iowa.gov/about/funding-opportunities | Iowa Maternal Health RFI: https://hhs.iowa.gov/media/18633/download?inline=,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Kansas,Northeast,recently closed,RFA; Grant,"Kansas’ first two RHTP RFAs are officially recently closed: the $15M REH/CAP capital investment grant was due Mar. 20 and the $44M Regional Partnership Grant Program was due Apr. 3. Monitor KDHE, KGMS, and Kansas procurement for the next wave.",$44M RPGP and $15M REH/CAP closed,REH/CAP Mar. 20; RPGP Apr. 3; next round TBD,"Regional partnerships, capital investment, REH conversion support, MIH, RPM, telehealth navigation, HIE connection, and future grant-prep support.",https://supplier.sok.ks.gov/psc/sokfsprdsup/SUPPLIER/ERP/c/NUI_FRAMEWORK.PT_LANDINGPAGE.GBL?&,Narrative: https://www.documentcloud.org/documents/26303222-kansas-complete-application/ | Procurement: https://supplier.sok.ks.gov/psc/sokfsprdsup/SUPPLIER/ERP/c/NUI_FRAMEWORK.PT_LANDINGPAGE.GBL?& | State RHTP: https://www.kdhe.ks.gov/2361/Rural-Health-Transformation-Program | KDHE Feb. 24 RFAs: https://www.kdhe.ks.gov/m/NewsFlash/home/detail/1870,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Kentucky,Mid-Atlantic,active,RFA; Grant,New accredited dental hygiene programs RFA released April 20. Information session held April 28; office hours May 8; applications due May 22.,Dental hygiene RFA open,Office hours May 8; due May 22,"Oral-health mobility, public-health tech, workforce training, telehealth wraparound, maternal access, and field collaboration tools.",https://vss.ky.gov/vssprod-ext/Advantage4,Narrative: https://www.documentcloud.org/documents/26458288-kentucky-narrative/ | Procurement: https://vss.ky.gov/vssprod-ext/Advantage4 | State RHTP: https://ruralhealthplan.ky.gov/Pages/index.aspx,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
2026-05-15,Louisiana,Southeast,forecasted,NOFO; Event; Survey,"LDH now lists RHTP webinars on May 21, a Rural Health Transformation Summit on June 11, a Food as Medicine survey, and a Notice of Funding Opportunities link. A specific public application package/deadline was not verified, so keep forecasted/coming soon.","RHTP page, events, survey, and NOFO link active",Webinars May 21; Summit Jun. 11; NOFO details pending,"Single state EHR instance, Rural Tech Catalyst Fund, remote monitoring devices, telehealth infrastructure, regional care conveners, food-as-medicine, workforce pathways, and provider partnership readiness.",https://ldh.la.gov/page/rural-health-transformation-program,LDH RHTP page: https://ldh.la.gov/page/rural-health-transformation-program | NOFO link: https://ldh.la.gov/page/rhtp-funding-opportunities | Procurement: https://wwwcfprd.doa.louisiana.gov/OSP/LaPAC/vendor/VndPubMain.cfm,"Updated v15: added LDH RHTP events, survey, and NOFO-link watch path."
2026-05-15,Maine,Northeast,monitor,Event; Funding,"Maine continues implementation activity, including RHTP staffing/administrative action and Healthy Grants workshop activity; no broad public subaward window was verified.",Implementation/workshop activity,Monitor DHHS notices,"Watch for implementation, rural hospital, telehealth, and community health grant lanes as workshops convert into funding actions.",https://www.maine.gov/dhhs/ruralhealth,Maine RHTP page: https://www.maine.gov/dhhs/ruralhealth | Maine financial order: https://legislature.maine.gov/doc/12511,Rechecked in v15 against official state/source-log path; no material status change identified beyond existing tracker classification.
